InstanceId|Name|InstanceType|AvailabilityZone|VpcId|SubnetId|PrivateIpAddress|State|acc_id|Launch_date_Time|ImageId|Owner|CostCenter|ClarityID|Environment|APPType|OSType|BillingContact|InstanceState|Stack|ServerType|BackupID|SchedulerID|TerminationDate|Compliance|ExceptionList|ADJoined|CreationDate|ChargeID|SupportScope|Day2Operation|aws:cloudformation:logical-id|aws:cloudformation:stack-name|aws:autoscaling:groupName|aws:ec2:fleet-id|aws:ec2launchtemplate:id|aws:ec2launchtemplate:version|aws:eks:cluster-name|aws:elasticmapreduce:instance-group-role|aws:elasticmapreduce:job-flow-id|Component|RITM|ServiceNowCatalog|ServiceNowInstanceName|vmw:provisioning:blueprint|vmw:provisioning:blueprintResourceName|vmw:provisioning:blueprintVersion|vmw:provisioning:cloudZone|vmw:provisioning:constraints.placement|vmw:provisioning:deployment|vmw:provisioning:flavorMapping|vmw:provisioning:imageMapping|vmw:provisioning:org|vmw:provisioning:project|vmw:provisioning:requester|Purpose|SchedulerID-RITM
i-2783d384|GLUSVN-ST909227|m3.medium|us-east-1b|vpc-0e66a16a|subnet-4fbfeb64|10.180.0.227|running|128010802554|2023-10-15 11:49:16|ami-c10f73a4|Technology and Infrastructure Service|868914|043745|TST|Amazon Elastic Compute Cloud/CentrifyY|amazonlinux/1|DIVOUDE1/WIDERRA1|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|A|EXC_NVS-EC2-EXC031_NA_RITM6593557_20241231/EXC_NVS-EC2-EXC012_NA_RITM6593557_20241231|NO|01/18/2018|null|PUC|UTC:15/10/23-11:49:08-KARRIRA3-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|SVN-SRVR|null
i-bfee388f|GLUSVN-SP913615|r4.8xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.98|running|128010802554|2024-04-17 04:36:08|ami-94f78f83|Technology and Infrastructure Service|I-001708|043842|PRD|Alteryx Designer|windows/2012|DENGFA3|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_APPLICABLE|null|null|null|YES|10/20/2016|null|TIS|UTC:17/04/24-04:36:01-KUMARBR8-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
i-055ceb3685600fe5d|GLUSVN-ST913597|m6a.xlarge|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.97.80|stopped|128010802554|2024-05-13 05:50:46|ami-38c5fc47|Development IT|7CGI|050238|TST|Amazon Elastic Compute Cloud|windows/2012|LITTLBR2|null|null|null|EBS-AWSBKP-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|YES|09/18/2018|null|TIS|UTC:28/12/23-15:35:54-THATIMA2-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM5886421
i-0316e803171be6b3c|GLUSVN-SP913636|m6a.xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.119|running|128010802554|2024-08-26 05:49:18|ami-38c5fc47|Development IT|7CGI|032510|PRD|Amazon Elastic Compute Cloud|windows/2012|LITTLBR2|null|null|null|EBS-AWSBKP-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|YES|09/28/2018|null|TIS|UTC:29/05/24-14:01:36-KUMARBR8-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM5886421
i-0e6a63bb6d903fbb1|GLUSVN-ST910696|m6a.large|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.96.190|running|128010802554|2024-08-05 05:49:26|ami-4e3a0734|Technology Architecture and Digital|868527|045448|TST|Hadoop/CentrifyY|redhat/7.9|STARIGR2|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM7146746_20250130/EXC_NVS-EC2-EXC031_NA_RITM7146746_20250130|YES|05/13/2019|null|TIS|UTC:15/11/23-07:10:09-BELAMAM1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM5859785
i-0aa90b3448031e696|GLUSVN-ST910672|p2.8xlarge|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.96.166|stopped|128010802554|2023-12-04 05:51:22|ami-4e3a0734|Technology Architecture and Digital|868527|045448|TST|Hadoop/CentrifyY|redhat/7.9|STARIGR2|null|null|null|EBS-AWSBKP-D-35_GMTmin5|SCH-NVS-WRKDAYS_GMTmin5|null|null|null|YES|05/13/2019|null|TIS|UTC:14/01/24-00:52:59-RHA7-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM5859785
i-018bf898bcff4aff3|GLUSVN-ST910598|p2.xlarge|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.96.92|running|128010802554|2024-08-05 05:49:35|ami-4e3a0734|Technology Architecture and Digital|868527|045448|TST|Hadoop/CentrifyY|redhat/7.9|STARIGR2|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_REQUESTED|null|null|EXC_NVS-EC2-EXC012_NA_RITM7146746_20250130/EXC_NVS-EC2-EXC031_NA_RITM7146746_20250130|YES|05/13/2019|null|TIS|UTC:16/02/24-10:20:07-MURUGRA9-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM5859785
i-0304335f465840e7b|GLUSVN-ST910758|m7a.medium|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.96.252|running|128010802554|2024-08-09 10:08:22|ami-4e3a0734|Technology Architecture and Digital|410000806|044711|TST|Amazon Elastic Compute Cloud/CentrifyY|redhat/7.9|PATELHIB|null|RWE|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|EXC_NVS-EC2-EXC012_NA_RITM6570222_20250412/EXC_NVS-EC2-EXC031_NA_RITM6570222_20250412|YES|09/02/2021|EVICO-COMPUTE-ID01|TIS|UTC:19/12/23-14:31:06-ASHOKAM3-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|RITM6570222
i-04729f466ab6c2ff3|GLUSVN-ST910663|m7a.medium|us-east-1b|vpc-0e66a16a|subnet-74bfeb5f|10.180.96.157|running|128010802554|2024-08-09 10:08:22|ami-4e3a0734|Technology Architecture and Digital|410000806|044711|UAT|GitLab|redhat/7.9|PATELHIB|null|RWE|null|EBS-NVS-D-15_GMTmin5|NOT_APPLICABLE|null|null|EXC_NVS-EC2-EXC012_NA_RITM7127324_20241231|YES|07/09/2019|EVICO-COMPUTE-ID01|TIS|UTC:03/11/23-13:48:12-BELAMAM1-changeInstanceType-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|IQ|null
i-07270efa65735d81f|GLUSVN-SP913654|p2.8xlarge|us-east-1b|vpc-0e66a16a|subnet-f8892dd2|10.180.105.137|running|128010802554|2023-09-27 13:38:09|ami-4e3a0734|Technology Architecture and Digital|868527|045448|PRD|Hadoop/CentrifyY|redhat/7.9|VERMAAB1|null|null|null|EBS-AWSBKP-D-35_GMTmin5|NOT_APPLICABLE|null|null|null|YES|07/30/2019|EVICO-COMPUTE-ID01|TIS|UTC:27/09/23-13:38:01-PAGADFE1-start-Using-Jenkins-Job|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
