DBInstanceIdentifier|DBName|AvailabilityZone|Engine|DBInstanceClass|Endpoint|VpcId|subnet|Launch_Time|acc_id|Owner|CostCenter|ClarityID|APPType|Environment|BillingContact|InstanceState|BackupID|SchedulerID|TerminationDate|ExceptionList|ChargeID|BackupDR
aebrainprd01|aebrainprd01|us-east-1b|aurora-mysql|db.t3.medium|aebrainprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2019-08-05 22:16:37|128010802554|Technology Architecture and Digital|868527|045448|Amazon RDS Aurora MySQL|PRD|VERMAAB1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
aebrainprd01-us-east-1c|aebrainprd01|us-east-1c|aurora-mysql|db.t3.medium|aebrainprd01-us-east-1c.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2019-08-05 22:21:19|128010802554|Technology Architecture and Digital|868527|045448|Amazon RDS Aurora MySQL|PRD|VERMAAB1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
aebrainqa01|n/a|us-east-1b|aurora-mysql|db.t3.medium|aebrainqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2019-05-10 05:46:13|128010802554|Technology Architecture and Digital|868527|045448|Amazon RDS Aurora MySQL|PPRD|STARIGR2|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
appgwprd01|appgwprd01|us-east-1c|postgres|db.t3.medium|appgwprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2020-01-23 20:07:10|128010802554|Development IT|832339|050239|Amazon RDS PostgreSQL|PRD|GIFFOLI1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
appgwqa01|appgwqa01|us-east-1c|postgres|db.t3.micro|appgwqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2020-01-23 22:53:32|128010802554|Development IT|832339|050239|Amazon RDS PostgreSQL|PPRD|GIFFOLI1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
artifactorydb2usqa01|n/a|us-east-1c|postgres|db.r6g.xlarge|artifactorydb2usqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-10-18 17:01:42|128010802554|TAD|I430002123|046374|Amazon RDS PostgreSQL|TST|PEREZIS1|null|null|null|null|null|null|null
artifactoryprodus|ArtifactoryprodUS|us-east-1c|postgres|db.r6g.large|artifactoryprodus.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-07-15 19:32:13|128010802554|Technology and Infrastructure Service|I430002123|046374|Amazon RDS PostgreSQL|PRD|PEREZIS1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
cascldprd|CASCLDPD|us-east-1c|oracle-se2|db.r5.4xlarge|cascldprd.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2024-02-09 17:57:16|128010802554|CIT|430002685|034563|Amazon RDS Oracle|PRD|CORTEFE5|null|null|null|null|null|null|null
cascldqa|CASCLDQA|us-east-1a|oracle-se2|db.r5.2xlarge|cascldqa.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-70bfeb5b,subnet-9f3e31e8,subnet-068e1523419c96a6a|2022-10-21 16:36:58|128010802554|CIT|430002685|034563|Amazon Oracle RDS|PPRD|CORTEFE5|null|EBS-NVS-D-35_GMT|NOT_REQUESTED|null|null|null|NOT_REQUESTED
casclduat|CASCLDUA|us-east-1b|oracle-se2|db.r5.2xlarge|casclduat.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-70bfeb5b,subnet-9f3e31e8,subnet-068e1523419c96a6a|2023-10-04 12:09:43|128010802554|CIT|null|034563|Amazon RDS Oracle|PPRD|CORTEFE5|null|null|null|null|null|null|null
